iter	Logloss
0	0.6449631294
1	0.6038552433
2	0.5691177037
3	0.5386553712
4	0.5134445373
5	0.4914723019
6	0.4710241176
7	0.4546531726
8	0.4408007977
9	0.4274456433
10	0.4158153703
11	0.4063548502
12	0.3978687805
13	0.3897430486
14	0.3831850108
15	0.3769346908
16	0.3717122507
17	0.3672504979
18	0.3630896515
19	0.3594643129
20	0.3559295215
21	0.3530313524
22	0.3506071288
23	0.348337917
24	0.3464002853
25	0.3443527095
26	0.3425729907
27	0.3410822281
28	0.3394114584
29	0.338163766
30	0.3370285381
31	0.335736061
32	0.3347544314
33	0.3338494664
34	0.3332091239
35	0.3325780002
36	0.3318451663
37	0.3310670342
38	0.3305019007
39	0.3299996167
40	0.3295445745
41	0.3290137794
42	0.3284554472
43	0.327940603
44	0.327495729
45	0.3271410301
46	0.3268536676
47	0.3265896341
48	0.3262446646
49	0.3258802599
50	0.3256117072
51	0.3252863753
52	0.3250565076
53	0.3247563802
54	0.3245740175
55	0.3243702654
56	0.3241860521
57	0.3239462648
58	0.3237757314
59	0.3236272344
60	0.3235035124
61	0.3233162208
62	0.3231726911
63	0.323060167
64	0.322896869
65	0.3227661453
66	0.3226252214
67	0.3225230542
68	0.3224320533
69	0.3223409611
70	0.3222381111
71	0.322129118
72	0.322040751
73	0.3219458431
74	0.3218705338
75	0.3217989926
76	0.3217085489
77	0.321640939
78	0.3215617759
79	0.3214520098
80	0.3213522988
81	0.321277718
82	0.3211995279
83	0.3211271978
84	0.3210287883
85	0.3209592338
86	0.3209004749
87	0.3208398536
88	0.3207819272
89	0.3207170353
90	0.3206667504
91	0.3205866844
92	0.3205133304
93	0.3204512433
94	0.3203898333
95	0.3203357308
96	0.3202857534
97	0.3202203349
98	0.3201647173
99	0.3201205339
100	0.3200736735
101	0.3200213186
102	0.3199710733
103	0.319932862
104	0.3199018183
105	0.3198559223
106	0.3198138188
107	0.3197648761
108	0.3197253331
109	0.3196814869
110	0.3196483796
111	0.3195964028
112	0.3195611933
113	0.3195228737
114	0.319481071
115	0.3194392656
116	0.3193974011
117	0.3193596711
118	0.3193271118
119	0.3192905596
120	0.3192549247
121	0.319210322
122	0.3191779627
123	0.3191500698
124	0.3191080845
125	0.3190748515
126	0.3190482259
127	0.3190198022
128	0.3189962094
129	0.3189658257
130	0.3189330496
131	0.318881191
132	0.3188506606
133	0.3188304423
134	0.3188001685
135	0.3187588487
136	0.3187291008
137	0.3187199726
138	0.31868835
139	0.3186478739
140	0.3186184175
141	0.318591684
142	0.3185591108
143	0.3185367944
144	0.3185088278
145	0.3184913038
146	0.3184636661
147	0.3184327201
148	0.3184035187
149	0.3183759612
150	0.3183489737
151	0.3183354963
152	0.3183100791
153	0.3182874156
154	0.3182468721
155	0.3182209202
156	0.3181791493
157	0.3181586427
158	0.3181282428
159	0.3181086742
160	0.3180843892
161	0.3180590984
162	0.3180393292
163	0.3180071423
164	0.3179750221
165	0.3179499643
166	0.3179305294
167	0.3179004074
168	0.3178722331
169	0.3178589237
170	0.3178347585
171	0.317812508
172	0.3177894837
173	0.3177631335
174	0.3177358499
175	0.3177132248
176	0.3176884234
177	0.3176641656
178	0.3176402316
179	0.317602149
180	0.3175774134
181	0.3175554624
182	0.3175353288
183	0.3175110354
184	0.3174920557
185	0.3174646683
186	0.3174421419
187	0.3174219294
188	0.3173988459
189	0.317384141
190	0.3173606699
191	0.3173396149
192	0.3173113729
193	0.3172832807
194	0.3172659472
195	0.3172478344
196	0.3172355531
197	0.3172129866
198	0.3171943576
199	0.3171713864
200	0.3171428022
201	0.317120496
202	0.3170983424
203	0.3170703322
204	0.3170383504
205	0.317013939
206	0.3169980852
207	0.3169757493
208	0.3169473688
209	0.3169225895
210	0.3169015575
211	0.3168884273
212	0.3168598451
213	0.3168438644
214	0.316821605
215	0.3168014426
216	0.3167776998
217	0.3167534053
218	0.3167351169
219	0.3167089103
220	0.316692661
221	0.3166704389
222	0.3166499061
223	0.3166281017
224	0.3166123826
225	0.3165974627
226	0.3165813474
227	0.3165572431
228	0.3165368055
229	0.3165200827
230	0.3164909538
231	0.3164684499
232	0.316442841
233	0.3164175258
234	0.3163968937
235	0.3163729363
236	0.3163501595
237	0.3163328895
238	0.3163147022
239	0.31629285
240	0.3162725581
241	0.3162476663
