iter	Passed	Remaining
0	50	50328
1	111	55693
2	156	51924
3	201	50070
4	243	48441
5	285	47323
6	342	48651
7	402	49952
8	494	54499
9	553	54819
10	627	56449
11	684	56350
12	743	56429
13	812	57254
14	995	65360
15	1119	68860
16	1181	68328
17	1234	67322
18	1294	66828
19	1361	66710
20	1413	65911
21	1466	65181
22	1516	64419
23	1571	63913
24	1626	63448
25	1698	63625
26	1755	63253
27	1810	62851
28	1888	63231
29	1935	62567
30	1981	61940
31	2044	61849
32	2094	61362
33	2151	61126
34	2238	61714
35	2325	62283
36	2383	62025
37	2440	61774
38	2493	61437
39	2551	61237
40	2606	60968
41	2658	60642
42	2724	60625
43	2782	60457
44	3007	63819
45	3092	64130
46	3178	64449
47	3249	64453
48	3312	64291
49	3376	64149
50	3425	63740
51	3478	63414
52	3536	63188
53	3594	62962
54	3660	62892
55	3722	62750
56	3787	62652
57	3859	62685
58	3917	62473
59	3984	62421
60	4067	62608
61	4208	63663
62	4272	63542
63	4346	63571
64	4404	63359
65	4473	63305
66	4533	63130
67	4585	62850
68	4655	62808
69	4719	62698
70	4775	62487
71	4822	62160
72	4875	61908
73	4924	61624
74	4977	61391
75	5032	61185
76	5086	60975
77	5195	61408
78	5272	61468
79	5349	61516
80	5400	61271
81	5456	61085
82	5511	60896
83	5569	60730
84	5652	60850
85	5710	60689
86	5798	60846
87	5902	61167
88	5980	61213
89	6050	61179
90	6109	61025
91	6196	61157
92	6253	60993
93	6295	60676
94	6336	60365
95	6395	60222
96	6462	60158
97	6518	59993
98	6570	59801
99	6630	59670
100	6699	59635
101	6757	59494
102	6808	59294
103	6861	59115
104	6950	59248
105	7050	59464
106	7110	59343
107	7168	59209
108	7245	59223
109	7306	59117
110	7359	58945
111	7405	58717
112	7458	58549
113	7517	58428
114	7578	58318
115	7644	58253
116	7713	58215
117	7766	58050
118	7815	57863
119	7871	57722
120	7926	57579
121	7989	57498
122	8050	57403
123	8113	57318
124	8163	57143
125	8221	57028
126	8275	56882
127	8316	56653
128	8365	56486
129	8416	56324
130	8477	56234
131	8532	56108
132	8589	55990
133	8649	55896
