iter	Passed	Remaining
0	98	29891
1	166	25267
2	244	24578
3	363	27363
4	461	27701
5	517	25783
6	564	24029
7	602	22382
8	645	21221
9	685	20234
10	847	22657
11	911	22254
12	951	21377
13	1014	21093
14	1098	21239
15	1217	21991
16	1283	21752
17	1336	21306
18	1395	21005
19	1448	20643
20	1508	20406
21	1551	19953
22	1584	19426
23	1628	19070
24	1681	18828
25	1729	18553
26	1772	18251
27	1807	17886
28	1844	17551
29	1877	17212
30	1921	16979
31	1956	16689
32	1997	16461
33	2047	16317
34	2095	16166
35	2141	15999
36	2179	15785
37	2212	15548
38	2244	15311
39	2280	15105
40	2309	14870
41	2339	14650
42	2375	14473
43	2419	14351
44	2450	14158
45	2482	13974
46	2527	13876
47	2562	13720
48	2611	13641
49	2651	13524
50	2685	13374
51	2713	13203
52	2747	13064
53	2778	12915
54	2811	12781
55	2847	12659
56	2878	12523
57	2918	12429
58	2971	12390
59	3025	12353
60	3070	12281
61	3117	12219
62	3175	12196
63	3227	12155
64	3277	12102
65	3315	12007
66	3351	11904
67	3381	11785
68	3409	11662
69	3439	11547
70	3472	11445
71	3505	11342
72	3536	11238
73	3568	11140
74	3608	11066
75	3658	11023
76	3696	10944
77	3733	10865
78	3767	10777
79	3802	10693
80	3837	10612
81	3871	10528
82	3904	10444
83	3939	10363
84	3972	10280
85	4005	10200
86	4038	10118
87	4068	10031
88	4097	9945
89	4129	9865
90	4163	9790
91	4195	9712
92	4222	9625
93	4254	9549
94	4297	9499
95	4333	9434
96	4397	9429
97	4440	9379
98	4484	9330
99	4523	9272
100	4555	9200
101	4598	9150
102	4629	9078
103	4664	9014
104	4701	8954
105	4747	8913
106	4788	8860
107	4819	8792
108	4853	8726
109	4882	8655
110	4917	8595
111	4950	8530
112	5010	8514
113	5043	8449
114	5076	8387
115	5104	8316
116	5134	8250
117	5169	8191
118	5201	8129
119	5229	8061
120	5262	8002
121	5294	7942
122	5331	7888
123	5363	7829
124	5393	7766
125	5425	7707
126	5459	7651
127	5491	7593
128	5523	7535
129	5556	7480
130	5593	7429
131	5623	7369
132	5656	7315
133	5682	7251
134	5714	7195
135	5757	7154
136	5796	7107
137	5843	7071
138	5878	7020
139	5915	6972
140	5951	6921
141	5983	6868
142	6017	6817
143	6050	6764
144	6088	6717
145	6125	6671
146	6165	6626
147	6207	6584
148	6243	6536
149	6275	6485
150	6310	6435
151	6340	6382
152	6371	6330
153	6405	6280
154	6436	6229
155	6467	6177
156	6495	6123
157	6530	6076
158	6562	6025
159	6595	5977
160	6629	5929
161	6667	5885
162	6695	5832
163	6727	5783
164	6760	5735
165	6795	5689
166	6836	5649
167	6878	5608
168	6923	5571
169	6959	5526
170	7000	5485
171	7032	5437
172	7061	5388
173	7089	5337
174	7118	5287
175	7150	5241
176	7186	5196
177	7218	5150
178	7251	5104
179	7283	5058
180	7316	5012
181	7344	4963
182	7375	4916
183	7407	4871
184	7441	4826
185	7478	4784
186	7523	4747
187	7563	4706
188	7604	4667
189	7635	4621
190	7666	4575
191	7699	4531
192	7726	4483
193	7760	4440
194	7795	4397
195	7824	4351
196	7854	4306
197	7898	4268
198	7932	4225
199	7968	4183
200	8014	4146
201	8048	4104
202	8082	4061
203	8112	4016
204	8142	3971
205	8179	3931
206	8206	3885
207	8236	3841
208	8269	3798
209	8299	3754
210	8324	3708
211	8357	3666
212	8390	3624
213	8428	3584
214	8461	3541
215	8490	3498
216	8521	3455
217	8553	3413
218	8587	3372
219	8616	3329
220	8649	3287
221	8681	3245
222	8712	3203
223	8745	3162
224	8777	3120
225	8808	3079
226	8834	3035
227	8867	2994
228	8898	2953
229	8929	2911
230	8966	2872
231	9003	2832
232	9041	2793
233	9082	2755
234	9114	2715
235	9144	2673
236	9177	2633
237	9204	2591
238	9234	2550
239	9263	2508
240	9294	2468
241	9325	2427
242	9426	2405
243	9476	2369
244	9507	2328
245	9541	2288
246	9574	2248
247	9602	2206
248	9641	2168
249	9677	2129
250	9708	2088
251	9741	2048
252	9774	2008
253	9804	1968
254	9844	1930
255	9880	1891
256	9913	1851
257	9948	1812
258	9981	1772
259	10024	1734
260	10071	1697
261	10112	1659
262	10154	1621
263	10191	1582
264	10223	1543
265	10273	1506
266	10309	1467
267	10343	1428
268	10378	1388
269	10407	1349
270	10442	1310
271	10477	1271
272	10514	1232
273	10546	1193
274	10587	1155
275	10617	1115
276	10653	1076
277	10684	1037
278	10719	998
279	10750	959
280	10780	920
281	10811	881
282	10840	842
283	10876	804
284	10906	765
285	10941	726
286	10978	688
287	11018	650
288	11057	612
289	11109	574
290	11153	536
291	11191	498
292	11232	460
293	11266	421
294	11306	383
295	11340	344
296	11384	306
297	11415	268
298	11447	229
299	11480	191
300	11515	153
301	11547	114
302	11577	76
303	11613	38
304	11645	0
