iter	MultiClass
0	1.937668756
1	1.833212854
2	1.74926349
3	1.690246536
4	1.634599809
5	1.589693958
6	1.550711215
7	1.515504466
8	1.48388011
9	1.4523415
10	1.428199875
11	1.407942701
12	1.390441512
13	1.373048951
14	1.357879467
15	1.343365758
16	1.330523712
17	1.320299559
18	1.304896506
19	1.288944814
20	1.278559451
21	1.26958411
22	1.260713667
23	1.251362729
24	1.244023066
25	1.234401551
26	1.226198738
27	1.220030354
28	1.214574256
29	1.207660016
30	1.20016055
31	1.197442911
32	1.192402211
33	1.186855673
34	1.183278018
35	1.178323971
36	1.174752027
37	1.169899954
38	1.165234313
39	1.1617689
40	1.158890998
41	1.155127872
42	1.150690894
43	1.147923028
44	1.143843758
45	1.139873774
46	1.137018986
47	1.134481004
48	1.132012334
49	1.129930494
50	1.127473333
51	1.125147583
52	1.122945933
53	1.119954783
54	1.118021056
55	1.11643273
56	1.115528671
57	1.114126733
58	1.112257193
59	1.110435669
60	1.109188929
61	1.108047553
62	1.106773253
63	1.105266101
64	1.103601342
65	1.102726182
66	1.101186732
67	1.09986087
68	1.098506458
69	1.096339289
70	1.095238377
71	1.09383809
72	1.092975693
73	1.092114808
74	1.090989675
75	1.089775204
76	1.088367461
77	1.087583446
78	1.086822754
79	1.085359482
80	1.084831713
81	1.084328127
82	1.083620469
83	1.082609769
84	1.08170367
85	1.079983376
86	1.079286644
87	1.078704583
88	1.078006265
89	1.07691517
90	1.075099624
91	1.074491166
92	1.073689228
93	1.071821345
94	1.071035102
95	1.070618673
96	1.070092293
97	1.069206159
98	1.067641119
99	1.066955701
100	1.066402367
101	1.065786809
102	1.064986588
103	1.064491973
104	1.063279736
105	1.062606377
106	1.062025224
107	1.061464736
108	1.060850686
109	1.060391261
110	1.059575049
111	1.05874756
112	1.058338196
113	1.057825196
114	1.057379821
115	1.05681982
116	1.056443747
117	1.05598616
118	1.055435616
119	1.055026291
120	1.054431998
121	1.053042594
122	1.052567561
123	1.051954909
124	1.051555245
125	1.051224218
126	1.050879093
127	1.050440078
128	1.050161946
129	1.049688417
130	1.049227359
131	1.048794226
132	1.048425291
133	1.04773706
134	1.047220546
135	1.046812414
136	1.046459045
137	1.045957994
138	1.045617781
139	1.044941978
140	1.044584005
141	1.04430587
142	1.044055654
143	1.043752491
144	1.043338619
145	1.043004494
146	1.04269849
147	1.042465457
148	1.042339658
149	1.042029803
150	1.041741039
151	1.040615867
152	1.040369906
153	1.039915447
154	1.039755564
155	1.039442914
156	1.039000522
157	1.038537982
158	1.038394302
159	1.037751164
160	1.03747177
161	1.037219069
162	1.036663022
163	1.03610749
164	1.035724621
165	1.035332533
166	1.034927505
167	1.034595036
168	1.034246991
169	1.033882272
170	1.033664133
171	1.033450642
172	1.033218007
173	1.033035953
174	1.032486502
175	1.032248118
176	1.031976543
177	1.031674132
178	1.031449071
179	1.031154806
180	1.030820588
181	1.030493426
182	1.030297715
183	1.030177297
184	1.030045625
185	1.029790169
186	1.029487947
187	1.029163682
188	1.028912565
189	1.028543035
190	1.028229907
191	1.027988225
192	1.027832417
193	1.027680836
194	1.027362205
195	1.027096362
196	1.026774652
197	1.026589323
198	1.026427267
199	1.026216149
200	1.026057033
201	1.025903948
202	1.025727911
203	1.025367429
204	1.025234841
205	1.02504671
206	1.024767924
207	1.024322957
208	1.02411778
209	1.023837987
210	1.023510086
211	1.02329828
212	1.022923527
213	1.022681851
214	1.022337794
215	1.022053098
216	1.021916644
217	1.021716062
218	1.021521889
219	1.021378583
220	1.021235973
221	1.021071229
222	1.020915043
223	1.020530568
224	1.020354166
225	1.019780889
226	1.019590342
227	1.019381744
228	1.01914262
229	1.018763963
230	1.018551748
231	1.018433038
232	1.018200307
233	1.018003777
234	1.01772078
235	1.017246074
236	1.017080924
237	1.016670844
238	1.01656303
239	1.016047923
240	1.015783197
241	1.015450613
242	1.015331557
243	1.015180009
244	1.014954329
245	1.014568399
246	1.01439732
247	1.014264532
248	1.014003383
249	1.013833341
250	1.013732882
251	1.01356567
252	1.013336687
253	1.013267523
254	1.013058525
255	1.012518581
256	1.012301085
257	1.012168413
258	1.012005219
259	1.011786188
260	1.011568854
261	1.011478041
262	1.011298221
263	1.011094772
264	1.010897108
265	1.010432399
266	1.010182313
267	1.009973141
268	1.009782396
269	1.009328673
270	1.009195745
