iter	Passed	Remaining
0	32	13012
1	62	12600
2	96	12901
3	134	13518
4	201	16159
5	283	18827
6	351	19964
7	460	22868
8	525	23130
9	564	22292
10	596	21381
11	633	20743
12	682	20566
13	725	20250
14	800	20800
15	857	20837
16	958	21875
17	1091	23472
18	1243	25270
19	1374	26459
20	1412	25823
21	1448	25217
22	1496	24859
23	1576	25034
24	1646	25029
25	1680	24499
26	1721	24101
27	1761	23723
28	1796	23294
29	1830	22880
30	1895	22866
31	1939	22603
32	1972	22238
33	2004	21871
34	2038	21551
35	2074	21263
36	2118	21071
37	2155	20816
38	2190	20558
39	2226	20320
40	2259	20057
41	2306	19931
42	2357	19848
43	2408	19759
44	2460	19683
45	2506	19564
46	2552	19440
47	2586	19237
48	2642	19197
49	2688	19085
50	2723	18906
51	2758	18726
52	2792	18545
53	2832	18408
54	2865	18233
55	2904	18100
56	2956	18050
57	3004	17975
58	3051	17892
59	3088	17758
60	3123	17616
61	3162	17496
62	3190	17317
63	3221	17163
64	3256	17034
65	3285	16875
66	3316	16731
67	3351	16607
68	3384	16478
69	3418	16359
70	3462	16288
71	3495	16167
72	3528	16048
73	3563	15939
74	3599	15836
75	3633	15728
76	3666	15619
77	3699	15508
78	3744	15452
79	3783	15371
80	3811	15244
81	3843	15138
82	3876	15039
83	3909	14939
84	3941	14840
85	3977	14754
86	4020	14697
87	4054	14603
88	4156	14758
89	4201	14705
90	4257	14690
91	4288	14588
92	4320	14495
93	4348	14386
94	4384	14306
95	4420	14228
96	4455	14147
97	4491	14071
98	4539	14032
99	4574	13951
100	4618	13901
101	4652	13822
102	4696	13771
103	4723	13669
104	4768	13623
105	4806	13558
106	4868	13558
107	4899	13474
108	4921	13365
109	4947	13268
110	4967	13158
111	4989	13052
112	5012	12952
113	5035	12854
114	5065	12774
115	5099	12705
116	5135	12642
117	5180	12599
118	5230	12569
119	5280	12541
120	5384	12636
121	5480	12713
122	5548	12721
123	5580	12645
124	5616	12581
125	5653	12518
126	5695	12467
127	5733	12408
128	5764	12333
129	5797	12264
130	5842	12220
131	5884	12169
132	5950	12169
133	6009	12152
134	6044	12088
135	6078	12022
136	6128	11988
137	6174	11947
138	6223	11909
139	6264	11857
140	6314	11823
141	6374	11806
142	6414	11751
143	6449	11689
144	6501	11657
145	6536	11595
146	6585	11557
147	6622	11499
148	6667	11454
149	6721	11426
150	6768	11385
151	6805	11327
152	6838	11263
153	6871	11200
154	6904	11136
155	6936	11072
156	6971	11012
157	7002	10947
158	7077	10949
159	7120	10903
160	7154	10843
161	7197	10795
162	7227	10730
163	7253	10659
164	7297	10613
165	7334	10559
166	7418	10572
167	7482	10555
168	7531	10517
169	7565	10457
170	7614	10419
171	7646	10358
172	7679	10298
173	7713	10239
174	7747	10182
175	7778	10120
176	7816	10068
177	7852	10013
178	7896	9969
179	7934	9918
180	7968	9861
181	8002	9804
182	8037	9750
183	8069	9691
184	8108	9642
185	8173	9623
186	8224	9587
187	8271	9547
188	8307	9493
189	8353	9452
190	8385	9395
191	8420	9341
192	8452	9285
193	8493	9237
194	8621	9284
195	8688	9264
196	8755	9244
197	8809	9210
198	8868	9179
199	8901	9123
200	8925	9059
201	8966	9010
202	9002	8957
203	9050	8917
204	9090	8868
205	9135	8824
206	9171	8772
207	9215	8728
208	9283	8705
209	9338	8671
210	9386	8630
211	9416	8572
212	9449	8517
213	9481	8462
214	9520	8413
215	9554	8359
216	9598	8315
217	9638	8267
218	9683	8224
219	9715	8169
220	9748	8116
221	9779	8061
222	9804	8001
223	9846	7956
224	9883	7906
225	9917	7854
226	9952	7804
227	9986	7752
228	10016	7698
229	10049	7646
230	10083	7595
231	10105	7535
232	10133	7480
233	10182	7440
234	10218	7392
235	10262	7348
236	10312	7309
237	10342	7256
238	10394	7219
239	10442	7179
240	10480	7131
241	10511	7079
242	10545	7030
243	10582	6982
244	10630	6942
245	10663	6892
246	10708	6849
247	10745	6802
248	10779	6753
249	10814	6705
250	10845	6653
251	10880	6606
252	10915	6558
253	10947	6507
254	10979	6458
255	11021	6414
256	11052	6365
257	11080	6313
258	11108	6262
259	11143	6214
260	11174	6165
261	11201	6113
262	11228	6062
263	11257	6012
264	11285	5962
265	11311	5911
266	11344	5863
267	11377	5816
268	11404	5765
269	11435	5717
270	11460	5666
271	11500	5623
272	11536	5577
273	11567	5530
274	11595	5481
275	11623	5432
276	11649	5383
277	11684	5337
278	11708	5287
279	11739	5240
280	11774	5195
281	11834	5161
282	11913	5135
283	11957	5094
284	11997	5051
285	12033	5006
286	12071	4963
287	12105	4917
288	12136	4871
289	12170	4826
290	12199	4779
291	12227	4731
292	12254	4684
293	12294	4641
294	12321	4594
295	12347	4546
296	12379	4501
297	12408	4455
298	12438	4409
299	12464	4362
300	12497	4318
301	12522	4270
302	12562	4229
303	12609	4189
304	12645	4146
305	12675	4100
306	12703	4055
307	12731	4009
308	12764	3965
309	12796	3921
310	12827	3877
311	12856	3832
312	12880	3785
313	12909	3741
314	12948	3699
315	12980	3655
316	13026	3616
317	13056	3572
318	13086	3528
319	13110	3482
320	13146	3440
321	13183	3398
322	13210	3353
323	13253	3313
324	13278	3268
325	13310	3225
326	13341	3182
327	13374	3139
328	13403	3096
329	13437	3053
330	13461	3009
331	13492	2966
332	13516	2922
333	13540	2878
334	13574	2836
335	13599	2792
336	13633	2750
337	13668	2709
338	13708	2668
339	13736	2626
340	13768	2584
341	13801	2542
342	13823	2498
343	13853	2456
344	13882	2414
345	13905	2371
346	13939	2329
347	13968	2287
348	13991	2245
349	14020	2203
350	14052	2161
351	14097	2122
352	14119	2079
353	14151	2038
354	14178	1996
355	14209	1955
356	14231	1913
357	14266	1872
358	14292	1831
359	14315	1789
360	14345	1748
361	14366	1706
362	14394	1665
363	14426	1624
364	14455	1584
365	14479	1542
366	14512	1502
367	14544	1462
368	14575	1422
369	14598	1380
370	14629	1340
371	14659	1300
372	14688	1260
373	14713	1219
374	14748	1179
375	14781	1140
376	14810	1099
377	14842	1060
378	14869	1020
379	14895	979
380	14926	940
381	14961	900
382	14988	860
383	15022	821
384	15045	781
385	15077	742
386	15105	702
387	15151	663
388	15190	624
389	15228	585
390	15288	547
391	15334	508
392	15371	469
393	15406	430
394	15438	390
395	15470	351
396	15500	312
397	15525	273
398	15558	233
399	15589	194
400	15619	155
401	15650	116
402	15672	77
403	15707	38
404	15735	0
